"","Indicator_Code","Indicator_Name","Num_of_Countries","Num_of_Years","FirstYear","LastYear"
"102","DC.DAC.ITAL.CD","Net bilateral aid flows from DAC donors, Italy (current USdollar)",210,56,"1960","2015"
"103","DC.DAC.JPNL.CD","Net bilateral aid flows from DAC donors, Japan (current USdollar)",222,56,"1960","2015"
"104","DC.DAC.KORL.CD","Net bilateral aid flows from DAC donors, Korea, Rep. (current USdollar)",211,56,"1960","2015"
"105","DC.DAC.LUXL.CD","Net bilateral aid flows from DAC donors, Luxembourg (current USdollar)",188,26,"1990","2015"
"106","DC.DAC.NLDL.CD","Net bilateral aid flows from DAC donors, Netherlands (current USdollar)",214,55,"1960","2015"
"107","DC.DAC.NORL.CD","Net bilateral aid flows from DAC donors, Norway (current USdollar)",211,56,"1960","2015"
"108","DC.DAC.NZLL.CD","Net bilateral aid flows from DAC donors, New Zealand (current USdollar)",183,46,"1970","2015"
"109","DC.DAC.POLL.CD","Net bilateral aid flows from DAC donors, Poland (current USdollar)",164,11,"2005","2015"
"110","DC.DAC.PRTL.CD","Net bilateral aid flows from DAC donors, Portugal (current USdollar)",174,33,"1960","2015"
"111","DC.DAC.SVKL.CD","Net bilateral aid flows from DAC donors, Slovak Republic (current USdollar)",111,11,"2005","2015"
"112","DC.DAC.SVNL.CD","Net bilateral aid flows from DAC donors, Slovenia (current USdollar)",125,8,"2008","2015"
"113","DC.DAC.SWEL.CD","Net bilateral aid flows from DAC donors, Sweden (current USdollar)",203,55,"1960","2015"
"114","DC.DAC.TOTL.CD","Net bilateral aid flows from DAC donors, Total (current USdollar)",225,56,"1960","2015"
"115","DC.DAC.USAL.CD","Net bilateral aid flows from DAC donors, United States (current USdollar)",219,56,"1960","2015"
"116","DT.AMT.BLAT.CD","PPG, bilateral (AMT, current USdollar)",135,48,"1970","2017"
"117","DT.AMT.BLTC.CD","PPG, bilateral concessional (AMT, current USdollar)",135,47,"1970","2016"
"118","DT.AMT.DIMF.CD","IMF repurchases (AMT, current USdollar)",135,47,"1970","2016"
"119","DT.AMT.DLTF.CD","Principal repayments on external debt, long-term + IMF (AMT, current USdollar)",135,47,"1970","2016"
"120","DT.AMT.DLXF.CD","Principal repayments on external debt, long-term (AMT, current USdollar)",135,48,"1970","2017"
"121","DT.AMT.DPNG.CD","Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current USdollar)",135,48,"1970","2017"
"122","DT.AMT.DPPG.CD","Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current USdollar)",135,47,"1970","2016"
"123","DT.AMT.MIBR.CD","PPG, IBRD (AMT, current USdollar)",135,47,"1970","2016"
"124","DT.AMT.MIDA.CD","PPG, IDA (AMT, current USdollar)",135,47,"1970","2016"
"125","DT.AMT.MLAT.CD","PPG, multilateral (AMT, current USdollar)",135,48,"1970","2017"
"126","DT.AMT.MLTC.CD","PPG, multilateral concessional (AMT, current USdollar)",135,47,"1970","2016"
"127","DT.AMT.OFFT.CD","PPG, official creditors (AMT, current USdollar)",135,48,"1970","2017"
"128","DT.AMT.PBND.CD","PPG, bonds (AMT, current USdollar)",135,48,"1970","2017"
"129","DT.AMT.PCBK.CD","PPG, commercial banks (AMT, current USdollar)",135,48,"1970","2017"
"130","DT.AMT.PNGB.CD","PNG, bonds (AMT, current USdollar)",135,47,"1970","2016"
"131","DT.AMT.PNGC.CD","PNG, commercial banks and other creditors (AMT, current USdollar)",135,47,"1970","2016"
"132","DT.AMT.PROP.CD","PPG, other private creditors (AMT, current USdollar)",135,48,"1970","2017"
"133","DT.AMT.PRVT.CD","PPG, private creditors (AMT, current USdollar)",135,48,"1970","2017"
"134","DT.AXA.DPPG.CD","Principal arrears, long-term DOD (USdollar)",135,47,"1970","2016"
"135","DT.AXA.OFFT.CD","Principal arrears, official creditors (current USdollar)",135,47,"1970","2016"
"136","DT.AXA.PRVT.CD","Principal arrears, private creditors (current USdollar)",135,47,"1970","2016"
"137","DT.AXF.DPPG.CD","Principal forgiven (current USdollar)",135,47,"1970","2016"
"138","DT.AXR.DPPG.CD","Principal rescheduled (current USdollar)",135,47,"1970","2016"
"139","DT.AXR.OFFT.CD","Principal rescheduled, official (current USdollar)",135,47,"1970","2016"
"140","DT.AXR.PRVT.CD","Principal rescheduled, private (current USdollar)",135,47,"1970","2016"
"141","DT.COM.DPPG.CD","Commitments, public and publicly guaranteed (COM, current USdollar)",135,47,"1970","2016"
"142","DT.COM.MIBR.CD","Commitments, IBRD (COM, current USdollar)",135,47,"1970","2016"
"143","DT.COM.MIDA.CD","Commitments, IDA (COM, current USdollar)",135,47,"1970","2016"
"144","DT.COM.OFFT.CD","Commitments, official creditors (COM, current USdollar)",135,47,"1970","2016"
"145","DT.COM.PRVT.CD","Commitments, private creditors (COM, current USdollar)",135,47,"1970","2016"
"146","DT.CUR.DMAK.ZS","Currency composition of PPG debt, Deutsche mark (%)",135,47,"1970","2016"
"147","DT.CUR.EURO.ZS","Currency composition of PPG debt, Euro (%)",135,47,"1970","2016"
"148","DT.CUR.FFRC.ZS","Currency composition of PPG debt, French franc (%)",135,47,"1970","2016"
"149","DT.CUR.JYEN.ZS","Currency composition of PPG debt, Japanese yen (%)",135,47,"1970","2016"
"150","DT.CUR.MULC.ZS","Currency composition of PPG debt, Multiple currencies (%)",135,47,"1970","2016"
"151","DT.CUR.OTHC.ZS","Currency composition of PPG debt, all other currencies (%)",135,47,"1970","2016"
"152","DT.CUR.SDRW.ZS","Currency composition of PPG debt, SDR (%)",135,47,"1970","2016"
"153","DT.CUR.SWFR.ZS","Currency composition of PPG debt, Swiss franc (%)",135,47,"1970","2016"
"154","DT.CUR.UKPS.ZS","Currency composition of PPG debt, Pound sterling (%)",135,47,"1970","2016"
"155","DT.CUR.USDL.ZS","Currency composition of PPG debt, U.S. dollars (%)",135,47,"1970","2016"
"156","DT.DFR.DPPG.CD","Debt forgiveness or reduction (current USdollar)",135,47,"1970","2016"
"157","DT.DIS.BLAT.CD","PPG, bilateral (DIS, current USdollar)",135,48,"1970","2017"
"158","DT.DIS.BLTC.CD","PPG, bilateral concessional (DIS, current USdollar)",135,47,"1970","2016"
"159","DT.DIS.DIMF.CD","IMF purchases (DIS, current USdollar)",135,47,"1970","2016"
"160","DT.DIS.DLTF.CD","Disbursements on external debt, long-term + IMF (DIS, current USdollar)",135,47,"1970","2016"
"161","DT.DIS.DLXF.CD","Disbursements on external debt, long-term (DIS, current USdollar)",135,48,"1970","2017"
"162","DT.DIS.DPNG.CD","Disbursements on external debt, private nonguaranteed (PNG) (DIS, current USdollar)",135,47,"1970","2016"
"163","DT.DIS.DPPG.CD","Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current USdollar)",135,47,"1970","2016"
"164","DT.DIS.IDAG.CD","IDA grants (current USdollar)",135,47,"1970","2016"
"165","DT.DIS.MIBR.CD","PPG, IBRD (DIS, current USdollar)",135,47,"1970","2016"
"166","DT.DIS.MIDA.CD","PPG, IDA (DIS, current USdollar)",135,47,"1970","2016"
"167","DT.DIS.MLAT.CD","PPG, multilateral (DIS, current USdollar)",135,48,"1970","2017"
"168","DT.DIS.MLTC.CD","PPG, multilateral concessional (DIS, current USdollar)",135,47,"1970","2016"
"169","DT.DIS.OFFT.CD","PPG, official creditors (DIS, current USdollar)",135,48,"1970","2017"
"170","DT.DIS.PBND.CD","PPG, bonds (DIS, current USdollar)",135,47,"1970","2016"
"171","DT.DIS.PCBK.CD","PPG, commercial banks (DIS, current USdollar)",135,48,"1970","2017"
"172","DT.DIS.PNGB.CD","PNG, bonds (DIS, current USdollar)",135,47,"1970","2016"
"173","DT.DIS.PNGC.CD","PNG, commercial banks and other creditors (DIS, current USdollar)",135,47,"1970","2016"
"174","DT.DIS.PROP.CD","PPG, other private creditors (DIS, current USdollar)",135,48,"1970","2017"
"175","DT.DIS.PRVT.CD","PPG, private creditors (DIS, current USdollar)",135,48,"1970","2017"
"176","DT.DOD.ALLC.CD","External debt stocks, concessional (DOD, current USdollar)",135,47,"1970","2016"
"177","DT.DOD.ALLC.ZS","Concessional debt (% of total external debt)",135,47,"1970","2016"
"178","DT.DOD.BLAT.CD","PPG, bilateral (DOD, current USdollar)",135,47,"1970","2016"
"179","DT.DOD.BLTC.CD","PPG, bilateral concessional (DOD, current USdollar)",135,47,"1970","2016"
"180","DT.DOD.DECT.CD","External debt stocks, total (DOD, current USdollar)",135,47,"1970","2016"
"181","DT.DOD.DECT.CD.CG","Total change in external debt stocks (current USdollar)",135,47,"1970","2016"
"182","DT.DOD.DECT.EX.ZS","External debt stocks (% of exports of goods, services and primary income)",134,47,"1970","2016"
"183","DT.DOD.DECT.GN.ZS","External debt stocks (% of GNI)",135,47,"1970","2016"
"184","DT.DOD.DIMF.CD","Use of IMF credit (DOD, current USdollar)",136,47,"1970","2016"
"185","DT.DOD.DLXF.CD","External debt stocks, long-term (DOD, current USdollar)",135,47,"1970","2016"
"186","DT.DOD.DPNG.CD","External debt stocks, private nonguaranteed (PNG) (DOD, current USdollar)",136,47,"1970","2016"
"187","DT.DOD.DPPG.CD","External debt stocks, public and publicly guaranteed (PPG) (DOD, current USdollar)",136,47,"1970","2016"
"188","DT.DOD.DSTC.CD","External debt stocks, short-term (DOD, current USdollar)",135,47,"1970","2016"
"189","DT.DOD.DSTC.IR.ZS","Short-term debt (% of total reserves)",148,47,"1970","2016"
"190","DT.DOD.DSTC.XP.ZS","Short-term debt (% of exports of goods, services and primary income)",152,47,"1970","2016"
"191","DT.DOD.DSTC.ZS","Short-term debt (% of total external debt)",135,47,"1970","2016"
"192","DT.DOD.MDRI.CD","Debt forgiveness grants (current USdollar)",135,47,"1970","2016"
"193","DT.DOD.MIBR.CD","PPG, IBRD (DOD, current USdollar)",136,47,"1970","2016"
"194","DT.DOD.MIDA.CD","PPG, IDA (DOD, current USdollar)",136,47,"1970","2016"
"195","DT.DOD.MLAT.CD","PPG, multilateral (DOD, current USdollar)",135,47,"1970","2016"
"196","DT.DOD.MLAT.ZS","Multilateral debt (% of total external debt)",135,47,"1970","2016"
"197","DT.DOD.MLTC.CD","PPG, multilateral concessional (DOD, current USdollar)",135,47,"1970","2016"
"198","DT.DOD.MWBG.CD","IBRD loans and IDA credits (DOD, current USdollar)",135,47,"1970","2016"
"199","DT.DOD.OFFT.CD","PPG, official creditors (DOD, current USdollar)",135,47,"1970","2016"
"200","DT.DOD.PBND.CD","PPG, bonds (DOD, current USdollar)",135,47,"1970","2016"
"201","DT.DOD.PCBK.CD","PPG, commercial banks (DOD, current USdollar)",135,47,"1970","2016"
"202","DT.DOD.PNGB.CD","PNG, bonds (DOD, current USdollar)",135,47,"1970","2016"
"203","DT.DOD.PNGC.CD","PNG, commercial banks and other creditors (DOD, current USdollar)",135,47,"1970","2016"
"204","DT.DOD.PROP.CD","PPG, other private creditors (DOD, current USdollar)",135,47,"1970","2016"
"205","DT.DOD.PRVS.CD","External debt stocks, long-term private sector (DOD, current USdollar)",135,47,"1970","2016"
"206","DT.DOD.PRVT.CD","PPG, private creditors (DOD, current USdollar)",135,47,"1970","2016"
"207","DT.DOD.PUBS.CD","External debt stocks, long-term public sector (DOD, current USdollar)",135,47,"1970","2016"
"208","DT.DOD.PVLX.CD","Present value of external debt (current USdollar)",135,1,"2016","2016"
"209","DT.DOD.PVLX.EX.ZS","Present value of external debt (% of exports of goods, services and primary income)",101,2,"2013","2016"
"210","DT.DOD.PVLX.GN.ZS","Present value of external debt (% of GNI)",117,2,"2013","2016"
"211","DT.DOD.RSDL.CD","Residual, debt stock-flow reconciliation (current USdollar)",135,47,"1970","2016"
"212","DT.DOD.VTOT.CD","External debt stocks, variable rate (DOD, current USdollar)",135,47,"1970","2016"
"213","DT.DSB.DPPG.CD","Debt buyback (current USdollar)",135,47,"1970","2016"
"214","DT.DSF.DPPG.CD","Debt stock reduction (current USdollar)",135,47,"1970","2016"
"215","DT.DXR.DPPG.CD","Debt stock rescheduled (current USdollar)",135,47,"1970","2016"
"216","DT.GPA.DPPG","Average grace period on new external debt commitments (years)",135,47,"1970","2016"
"217","DT.GPA.OFFT","Average grace period on new external debt commitments, official (years)",135,47,"1970","2016"
"218","DT.GPA.PRVT","Average grace period on new external debt commitments, private (years)",135,47,"1970","2016"
"219","DT.GRE.DPPG","Average grant element on new external debt commitments (%)",135,47,"1970","2016"
"220","DT.GRE.OFFT","Average grant element on new external debt commitments, official (%)",135,47,"1970","2016"
"221","DT.GRE.PRVT","Average grant element on new external debt commitments, private (%)",135,47,"1970","2016"
"222","DT.INR.DPPG","Average interest on new external debt commitments (%)",135,47,"1970","2016"
"223","DT.INR.OFFT","Average interest on new external debt commitments, official (%)",135,47,"1970","2016"
"224","DT.INR.PRVT","Average interest on new external debt commitments, private (%)",135,47,"1970","2016"
"225","DT.INT.BLAT.CD","PPG, bilateral (INT, current USdollar)",135,48,"1970","2017"
"226","DT.INT.BLTC.CD","PPG, bilateral concessional (INT, current USdollar)",135,47,"1970","2016"
"227","DT.INT.DECT.CD","Interest payments on external debt, total (INT, current USdollar)",135,47,"1970","2016"
"228","DT.INT.DECT.EX.ZS","Interest payments on external debt (% of exports of goods, services and primary income)",134,47,"1970","2016"
"229","DT.INT.DECT.GN.ZS","Interest payments on external debt (% of GNI)",135,47,"1970","2016"
"230","DT.INT.DIMF.CD","IMF charges (INT, current USdollar)",135,47,"1970","2016"
"231","DT.INT.DLXF.CD","Interest payments on external debt, long-term (INT, current USdollar)",135,48,"1970","2017"
"232","DT.INT.DPNG.CD","Interest payments on external debt, private nonguaranteed (PNG) (INT, current USdollar)",135,48,"1970","2017"
"233","DT.INT.DPPG.CD","Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current USdollar)",135,47,"1970","2016"
"234","DT.INT.DSTC.CD","Interest payments on external debt, short-term (INT, current USdollar)",135,47,"1970","2016"
"235","DT.INT.MIBR.CD","PPG, IBRD (INT, current USdollar)",135,47,"1970","2016"
"236","DT.INT.MIDA.CD","PPG, IDA (INT, current USdollar)",135,47,"1970","2016"
"237","DT.INT.MLAT.CD","PPG, multilateral (INT, current USdollar)",135,48,"1970","2017"
"238","DT.INT.MLTC.CD","PPG, multilateral concessional (INT, current USdollar)",135,47,"1970","2016"
"239","DT.INT.OFFT.CD","PPG, official creditors (INT, current USdollar)",135,48,"1970","2017"
"240","DT.INT.PBND.CD","PPG, bonds (INT, current USdollar)",135,48,"1970","2017"
"241","DT.INT.PCBK.CD","PPG, commercial banks (INT, current USdollar)",135,48,"1970","2017"
"242","DT.INT.PNGB.CD","PNG, bonds (INT, current USdollar)",135,47,"1970","2016"
"243","DT.INT.PNGC.CD","PNG, commercial banks and other creditors (INT, current USdollar)",135,47,"1970","2016"
"244","DT.INT.PROP.CD","PPG, other private creditors (INT, current USdollar)",135,48,"1970","2017"
"245","DT.INT.PRVT.CD","PPG, private creditors (INT, current USdollar)",135,48,"1970","2017"
"246","DT.IXA.DPPG.CD","Interest arrears, long-term DOD (USdollar)",135,47,"1970","2016"
"247","DT.IXA.DPPG.CD.CG","Net change in interest arrears (current USdollar)",135,47,"1970","2016"
"248","DT.IXA.OFFT.CD","Interest arrears, official creditors (current USdollar)",135,47,"1970","2016"
"249","DT.IXA.PRVT.CD","Interest arrears, private creditors (current USdollar)",135,47,"1970","2016"
"250","DT.IXF.DPPG.CD","Interest forgiven (current USdollar)",135,47,"1970","2016"
"251","DT.IXR.DPPG.CD","Interest rescheduled (capitalized) (current USdollar)",135,47,"1970","2016"
"252","DT.IXR.OFFT.CD","Interest rescheduled, official (current USdollar)",135,47,"1970","2016"
"253","DT.IXR.PRVT.CD","Interest rescheduled, private (current USdollar)",135,47,"1970","2016"
"254","DT.MAT.DPPG","Average maturity on new external debt commitments (years)",135,47,"1970","2016"
"255","DT.MAT.OFFT","Average maturity on new external debt commitments, official (years)",135,47,"1970","2016"
"256","DT.MAT.PRVT","Average maturity on new external debt commitments, private (years)",135,47,"1970","2016"
"257","DT.NFL.BLAT.CD","Net financial flows, bilateral (NFL, current USdollar)",136,47,"1970","2016"
"258","DT.NFL.BLTC.CD","PPG, bilateral concessional (NFL, current USdollar)",135,47,"1970","2016"
"259","DT.NFL.BOND.CD","Portfolio investment, bonds (PPG + PNG) (NFL, current USdollar)",135,47,"1970","2016"
"260","DT.NFL.DECT.CD","Net flows on external debt, total (NFL, current USdollar)",135,47,"1970","2016"
"261","DT.NFL.DLXF.CD","Net flows on external debt, long-term (NFL, current USdollar)",135,47,"1970","2016"
"262","DT.NFL.DPNG.CD","Net flows on external debt, private nonguaranteed (PNG) (NFL, current USdollar)",135,47,"1970","2016"
"263","DT.NFL.DPPG.CD","Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current USdollar)",135,47,"1970","2016"
"264","DT.NFL.DSTC.CD","Net flows on external debt, short-term (NFL, current USdollar)",135,47,"1970","2016"
"265","DT.NFL.FAOG.CD","Net official flows from UN agencies, FAO (current USdollar)",175,1,"2013","2013"
"266","DT.NFL.IAEA.CD","Net official flows from UN agencies, IAEA (current USdollar)",148,10,"2006","2015"
"267","DT.NFL.IFAD.CD","Net official flows from UN agencies, IFAD (current USdollar)",167,37,"1979","2015"
"268","DT.NFL.ILOG.CD","Net official flows from UN agencies, ILO (current USdollar)",176,4,"2012","2015"
"269","DT.NFL.IMFC.CD","Net financial flows, IMF concessional (NFL, current USdollar)",136,47,"1970","2016"
"270","DT.NFL.IMFN.CD","Net financial flows, IMF nonconcessional (NFL, current USdollar)",136,47,"1970","2016"
